Time,Steering Wheel,Break,Activating Signal
11:59.949,-13555,32767,0
11:59.961,-13563,32767,0
11:59.990,-13549,32767,0
12:00.003,-13511,32767,0
12:00.022,-13459,32767,0
12:00.054,-13261,32767,0
12:00.067,-13149,32767,0
12:00.081,-13039,32767,0
12:00.110,-12765,32767,0
12:00.123,-12620,32767,0
12:00.152,-12317,32767,0
12:00.166,-12167,32767,0
12:00.182,-12016,32767,0
12:00.209,-11684,32767,0
12:00.224,-11504,32767,0
12:00.250,-11113,32767,0
12:00.267,-10903,32767,0
12:00.280,-10646,32767,0
12:00.309,-10188,32767,0
12:00.322,-9866,32767,0
12:00.351,-9278,32767,0
12:00.364,-8898,32767,0
12:00.395,-8183,32767,0
12:00.408,-7749,32767,0
12:00.421,-7370,32767,0
12:00.449,-6603,32767,0
12:00.462,-6269,32767,0
12:00.492,-5456,32767,0
12:00.506,-5069,32767,0
12:00.523,-4683,32767,0
12:00.549,-3923,32767,0
12:00.566,-3490,32767,0
12:00.581,-3051,32767,0
12:00.611,-2357,32767,0
12:00.623,-1940,32767,0
12:00.654,-1419,32767,0
12:00.668,-1107,32767,0
12:00.682,-902,32767,0
12:00.709,-556,32767,0
12:00.722,-431,32767,0
12:00.751,-188,32767,0
12:00.764,-85,32767,0
12:00.793,82,32767,0
12:00.806,147,32767,0
12:00.822,192,32767,0
12:00.847,231,32767,0
12:00.864,226,32767,0
12:00.890,206,32767,0
12:00.907,185,32767,0
12:00.932,139,32767,0
12:00.949,114,32767,0
12:00.962,83,32767,0
12:00.991,36,32767,0
12:01.005,11,32767,0
12:01.033,-18,32767,0
12:01.048,-27,32767,0
12:01.060,-31,32767,0
12:01.091,-31,32767,0
12:01.105,-31,32767,0
12:01.122,-31,32767,0
12:01.147,-31,32767,0
12:01.164,-31,32767,0
12:01.190,-31,32767,0
12:01.205,-31,32767,0
12:01.231,-31,32767,0
12:01.246,-31,32767,0
12:01.272,-31,32767,0
12:01.289,-31,32767,0
12:01.302,-31,32767,0
12:01.330,-31,32767,0
12:01.343,-31,32767,0
12:01.372,-31,32767,0
12:01.384,-31,32767,0
12:01.411,-31,32767,0
12:01.424,-31,32767,0
12:01.452,-31,32767,0
12:01.466,-32,32767,0
12:01.495,-57,32767,0
12:01.508,-90,32767,0
12:01.521,-135,32767,0
12:01.552,-254,32767,0
12:01.566,-338,32767,0
12:01.584,-411,32767,0
12:01.609,-550,32767,0
12:01.625,-609,32767,0
12:01.651,-718,32767,0
12:01.669,-747,32767,0
12:01.682,-785,32767,0
12:01.712,-819,32767,0
12:01.725,-832,32767,0
12:01.755,-838,32767,0
12:01.769,-838,32767,0
12:01.782,-838,32767,0
12:01.810,-838,32767,0
12:01.824,-838,32767,0
12:01.851,-838,32767,0
12:01.864,-838,32767,0
12:01.892,-838,32767,0
